"status","bed","bath","acre_lot","city","state","zip_code","house_size","price"
"for_sale",3.70101265822784,2.49459473852367,0.98,"Weare","New Hampshire",3281,2180.08173730064,10000
"for_sale",3.70101265822784,2.49459473852367,2.52,"Hillsborough","New Hampshire",3244,2180.08173730064,85000
"for_sale",3.70101265822784,2.49459473852367,1.16,"Hillsborough","New Hampshire",3244,2180.08173730064,75000
"for_sale",3.70101265822784,2.49459473852367,1.38,"Hillsborough","New Hampshire",3244,2180.08173730064,70000
"for_sale",3.70101265822784,2.49459473852367,1.13,"Hillsborough","New Hampshire",3244,2180.08173730064,75000
"for_sale",3.70101265822784,2.49459473852367,1.13,"Hillsborough","New Hampshire",3244,2180.08173730064,70000
"for_sale",3.70101265822784,2.49459473852367,1.19,"Hillsborough","New Hampshire",3244,2180.08173730064,70000
"for_sale",3.70101265822784,2.49459473852367,1.22,"Hillsborough","New Hampshire",3244,2180.08173730064,85000
"for_sale",3.70101265822784,2.49459473852367,28.1,"Lyndeborough","New Hampshire",3082,2180.08173730064,249000
"for_sale",3.70101265822784,2.49459473852367,24.78,"Francestown","New Hampshire",3043,2180.08173730064,128000
"for_sale",3.70101265822784,2.49459473852367,7.7,"Antrim","New Hampshire",3440,2180.08173730064,145000
"for_sale",3.70101265822784,2.49459473852367,0.7,"Shrewsbury","Massachusetts",1545,2180.08173730064,325000
"for_sale",3.70101265822784,2.49459473852367,1.5,"Shrewsbury","Massachusetts",1545,2180.08173730064,295000
"for_sale",3.70101265822784,2.49459473852367,1.45,"Northborough","Massachusetts",1532,2180.08173730064,430000
"for_sale",3.70101265822784,2.49459473852367,3.8,"Greenville","New Hampshire",3048,2180.08173730064,155000
"for_sale",3.70101265822784,2.49459473852367,1.68,"Amherst","New Hampshire",3031,2180.08173730064,250000
"for_sale",2,2,13.613473315734,"Peterborough","New Hampshire",3458,1138,220000
"for_sale",3.70101265822784,2.49459473852367,11.2,"Mont Vernon","New Hampshire",3057,2180.08173730064,154900
"for_sale",3.70101265822784,2.49459473852367,6.6,"Mont Vernon","New Hampshire",3057,2180.08173730064,134900
"for_sale",3.70101265822784,2.49459473852367,3,"Antrim","New Hampshire",3440,2180.08173730064,64900
"for_sale",3.70101265822784,2.49459473852367,5.3,"Mont Vernon","New Hampshire",3057,2180.08173730064,134900
"for_sale",4,3,1,"Wilton","New Hampshire",3086,3019,549900
"for_sale",3.70101265822784,2.49459473852367,19.2,"Mason","New Hampshire",3048,2180.08173730064,175000
"for_sale",2,2,2.03,"Milford","New Hampshire",3055,1492,449900
"for_sale",4,3,2.78,"Amherst","New Hampshire",3031,2844,949900
"for_sale",3.70101265822784,2.49459473852367,57.2,"Weare","New Hampshire",3281,2180.08173730064,390000
"for_sale",3.70101265822784,2.49459473852367,41,"Mont Vernon","New Hampshire",3057,2180.08173730064,375000
"for_sale",3.70101265822784,2.49459473852367,39.67,"Mason","New Hampshire",3048,2180.08173730064,540000
"for_sale",3.70101265822784,2.49459473852367,3.5,"Northborough","Massachusetts",1532,2180.08173730064,3e+05
"for_sale",3.70101265822784,2.49459473852367,147.3,"Peterborough","New Hampshire",3458,2180.08173730064,2500000
"for_sale",4,4,1.71,"Amherst","New Hampshire",3031,4500,1650000
"for_sale",3.70101265822784,2.49459473852367,0.17,"Shrewsbury","Massachusetts",1545,2180.08173730064,399000
"for_sale",3.70101265822784,2.49459473852367,28.99,"Hollis","New Hampshire",3049,2180.08173730064,2500000
"for_sale",3.70101265822784,2.49459473852367,5.9,"Antrim","New Hampshire",3440,2180.08173730064,62500
"for_sale",2,2,0.86,"Milford","New Hampshire",3055,1249,399900
"for_sale",3.70101265822784,2.49459473852367,5.01,"Deering","New Hampshire",3244,2180.08173730064,1e+05
"for_sale",2,1,0.34,"Milford","New Hampshire",3055,1269,266000
"for_sale",3.70101265822784,2.49459473852367,3.03,"Bennington","New Hampshire",3442,2180.08173730064,99000
"for_sale",3,3,5.09,"Antrim","New Hampshire",3440,1839,507700
"for_sale",5,3,143,"Wilton","New Hampshire",3086,1978,1100000
"for_sale",5,4,1.19,"Westborough","Massachusetts",1581,3600,1599900
"for_sale",3,1,0.74,"Shrewsbury","Massachusetts",1545,1152,349888
"for_sale",3,2,0.94,"Antrim","New Hampshire",3440,3387,319900
"for_sale",3,3,13.613473315734,"New Boston","New Hampshire",3070,2090,399900
